id,title,genre_ids,poster_path
159824,Hotel Transilvania 2,"[16, 35, 10751, 14]",img_movies/ndYVcm1k3h81MRDhzZCI4SxDzGp.jpg
884625,A Slice of Chicago Romance,"[10770, 35, 10749, 10751]",img_movies/vMVQkHr5JkkZPcU8OOEJ6VcaLiy.jpg
417859,El gato con botas,"[16, 10751, 14, 12, 35, 28]",img_movies/1VmrC82zY4U33l9UHlZTWDB1asN.jpg
901362,Trolls 3: Todos juntos,"[16, 10751, 10402, 14, 35]",img_movies/saGpA6u71TPA8DyTYoAqSBGVZW.jpg
249391,La familia Munster: La película,"[27, 35, 10751, 10770]",img_movies/3AE7Me6nyWqmAlwwOhuFl5DzAQ0.jpg
20172,Sleeping Beauty,"[16, 10751, 14]",img_movies/iE7qBoW82qNgqnmnVlQXGLJeXJp.jpg
1100998,SuperKlaus,"[16, 35, 10751, 12]",img_movies/uUxQwTjKwXl1U8si5F6xlmf3XOk.jpg
10112,Los aristogatos,"[16, 35, 10751, 12]",img_movies/s9DsxlbVE1HvHnCz50GdHDBeZRy.jpg
1075794,Leo,"[16, 35, 10751]",img_movies/bx3nuzVSyDSrSj0HqE2SFvZEeKT.jpg
1241894,Woodwalkers,"[10751, 14]",img_movies/n84V8SLmc7242ltKRePD5uvP8Xb.jpg
11247,Una Cenicienta moderna,"[35, 10751, 10749]",img_movies/uNUvr2hPN6ZXvo8N7Cljqna7PmM.jpg
2454,Las crónicas de Narnia: El príncipe Caspian,"[12, 10751, 14]",img_movies/ccXSnN0bMBYc7Pno5chkpy7UYcq.jpg
1104845,"Plankton, la película","[10751, 35, 12, 16]",img_movies/fCvwQJVcbjNub2PiKzZmQXR7i1I.jpg
37108,Aventuras en la corte del rey Arturo,"[12, 14, 35, 10751]",img_movies/eSLk8wkuBF3epbEC8lwWXtK6saN.jpg
41513,Los pitufos,"[16, 10751, 12, 35, 14]",img_movies/ufpzGicM1hZQMzRzTRHAcIQXjXi.jpg
24272,Yosef y su Sorprendente Manto de Sueños en Tecnicolor,[10751],img_movies/dUdvCUFlez1puCgzKFa5u4j5fTD.jpg
181533,Noche en el museo: El secreto del faraón,"[12, 35, 14, 10751]",img_movies/5ljVIkHGMhQGx7YQKZLKBFn7DfD.jpg
408,Blancanieves y los siete enanitos,"[14, 16, 10751]",img_movies/b2ZPP3bZqDOzqTHr1TlFIFPWP48.jpg
241259,Alicia a través del espejo,"[12, 10751, 14]",img_movies/enTsjngbsWuf1JB6YoYOOd67GdE.jpg
9297,Monster House,"[16, 35, 10751, 14]",img_movies/AiwWH826I8a1dYTRMDFZEXsw9E3.jpg
531219,Las brujas (de Roald Dahl),"[35, 14, 10751, 27]",img_movies/s1y92244iBlKW04rEnaEK8i8tPY.jpg
1593,Noche en el museo,"[28, 12, 35, 10751, 14]",img_movies/1Esw7HZUmHzDeJIZq4ZmTZrhunT.jpg
774127,Roald y Beatrix: La Cola del raton Curioso,"[10751, 18]",img_movies/qttUiMGevgu4y3E6nG4bxXR2Acr.jpg
774825,Ice Age: Las aventuras de Buck,"[16, 35, 10751, 12]",img_movies/iDah4ZcDX3F316LcLlmNNAzsRqF.jpg
601,E.T. el extraterrestre,"[878, 12, 10751, 14]",img_movies/4kixNqJAu7hWpZOnOsznL7YPuuQ.jpg
496450,Prodigiosa: Las aventuras de Ladybug - La película,"[16, 14, 28, 10749, 10751]",img_movies/fJQB1CAKZOiBNZLd4RBXvg35aaB.jpg
11970,Hércules,"[16, 10751, 14, 12, 35, 10749]",img_movies/iwjP7ImLzXZjKHnCUChJThEtNJG.jpg
10009,Hermano oso,"[12, 16, 10751]",img_movies/1XwOQNSby3HZfKMZcY7rtZw4KR.jpg
826510,Harold y el lápiz mágico,"[10751, 35, 12, 14]",img_movies/1LRmVHwhH4bCyMHHgz3ZZdqu7lO.jpg
10330,Ponte en mi lugar,"[10751, 14, 35]",img_movies/qKgEjYsx6q2cTL5yVVUyWPNlR8v.jpg
11888,Aventuras en Alaska,"[35, 10751, 12]",img_movies/CqFvnM1hiAOXLnMnJYDYlvrknV.jpg
57737,Barbie: El secreto de las hadas,"[16, 10751, 14]",img_movies/gWLvz00qL5GXFsPqB3rl7ysYB5j.jpg
9023,Spirit: El corcel indomable,"[16, 12, 10751, 18, 37, 10749]",img_movies/gNRQdU3KEsYTIl4y9Xte3onUSsx.jpg
4523,Encantada: La historia de Giselle,"[35, 10751, 14, 10749]",img_movies/hKGfd8Zl7fyYCsVhhfTELtaepWE.jpg
360920,El Grinch,"[10751, 35, 16]",img_movies/o3b6DOiePNlNOiqLCzCvqvDvHpL.jpg
62211,Monstruos University,"[16, 10751]",img_movies/fDwaVE6Ab1WGnzNEV4Irrtmbdsm.jpg
2274,Los seis signos de la luz,"[12, 18, 14, 10751, 53]",img_movies/rtxlwILUPl7qt4FmIMGoKKTOVCh.jpg
9880,Princesa por sorpresa,"[35, 10751, 10749]",img_movies/s4DYhsEnziYlJy91bbxv1ZhTJFG.jpg
